Описание ноутбука;Цена ноутбука
Ноутбук Apple M1/8 ГБ/512 Гб/13.3''/2560x1600/Apple M1 8-core/macOSApple / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Celeron N3350Intel Celeron N3350/4/11.6''/1920x1080/Windows 10DIGMA / ; //static.wbstatic.net/i/blank.gif
Ноутбук Ryzen 7 5700U/16/512 GB/15,6/1920x1080/AMD Radeon Vega 8/Windos 10 HomeHP / ; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Core i5 10300H/8 ГБ/1000 Гб/256 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650Ti/DOSMSI / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 1005G1/8/256 Гб/14""/1920x1080/Intel UHD Graphics/Windows 10 HomeAsus / "; //static.wbstatic.net/i/blank.gif
Ноутбук AMD Athlon 300U/4 ГБ/128 Гб/15.6''/1920x1080/AMD Radeon Vega 3/DOSlenovo / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 5 5600H/8 ГБ/512 Гб/15.6 ""/1920х1080/AMD Radeon RX 5500M/Free DOSMSI / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i3 1115G4/4 ГБ/256 Гб/15.6 ""/1920 x 1080/Intel UHD Graphics/DOSlenovo / "; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Pentium Gold 7505/8 ГБ/256 Гб/14""/1920 x 1080/Windows 10lenovo / "; //static.wbstatic.net/i/blank.gif
Ноутбук Intel Atom x5 Z8350/2/10.1/1920x1080DIGMA / ; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 3 3200U/8 ГБ/256 Гб/15.6""/1366x768/AMD Radeon Vega 3/Windows 10 Homelenovo / "; //static.wbstatic.net/i/blank.gif
Ноутбук Apple M1/8 ГБ/512 Гб/13.3''/2560x1600/Apple M1 8-core/macOSApple / ; //static.wbstatic.net/i/blank.gif
"Ноутбук Intel Core i5 5257U/8 ГБ/256 Гб/15.6""/1920x1080/Intel HD Graphics 6000/WindowsEchips / "; //static.wbstatic.net/i/blank.gif
"Ноутбук AMD Ryzen 3 3250U/4 ГБ/512 Гб/15.6""/1920x1080/AMD Radeon Vega 3/WindowsAcer / "; //static.wbstatic.net/i/blank.gif
